4400VW,WV0044
442MTT,TTM244
442NTN,NTN244
442PHA,AHP244
442PKR,RKP244
442PPP,PPP244
442PRB,BRP244
442PVW,WVP244
442PYB,BYP244
442RDH,HDR244
442SJH,HJS244
442SMB,BMS244
442TBH,HBT244
442THY,YHT244
442TWC,CWT244
442UXA,AXU244
442UXB,BXU244
442UXD,DXU244
442UXE,EXU244
442UXE,EXU244
442UXG,GXU244
442UXK,KXU244
442UXM,MXU244
442UXR,RXU244
442UXY,YXU244
442UYF,FYU244
442VYA,AYV244
442WFK,KFW244
442WFK,KFW244
442WKO,OKW244
442WYA,AYW244
442XRE,ERX244
442XUD,DUX244
442XUR,RUX244
442XUS,SUX244
442XUV,VUX244
442XUW,WUX244
442YUB,BUY244
000000,000000
000000,000000
000000,000000
000000,000000
000013,310000
000035,530000
000227,722000
0004RU,UR4000
000600,006000
000656,656000
000667,766000
001010,010100
001046,640100
001114,411100
001177,771100
0011CN,NC1100
0011IM,MI1100
001763,367100
001833,338100
001TMS,SMT100
002052,250200
002096,690200
002346,643200
002809,908200
002977,779200
0029UO,OU9200
003046,640300
003224,422300
003252,252300
0032VL,LV2300
0035TO,OT5300
003683,386300
004234,432400
0044HN,NH4400
0046GC,CG6400
0048RQ,QR8400
0052PM,MP2500
0052TG,GT2500
005505,505500
005567,765500
0055BS,SB5500
00589H,H98500
005GRC,CRG500
006AZP,PZA600
006BKD,DKB600
007462,264700
007674,476700
007808,808700
0079QT,TQ9700
008088,880800
008292,292800
008369,963800
009497,794900
009795,597900
009TRP,PRT900
00D360,063D00
00D601,106D00
0-1575,5751-0
021258,852120
022189,981220
0221UD,DU1220
0227PO,OP7220
022MDJ,JDM220
0230VA,AV0320
0235UF,FU5320
023851,158320
0238OG,GO8320
023LTP,PTL320
0250JE,EJ0520
0250JE,EJ0520
025769,967520
026484,484620
0270RX,XR0720
027111,111720
027BAF,FAB720
0291XJ,JX1920
029288,882920
0292PX,XP2920
02C737,737C20
02D210,012D20
02D300,003D20
02D814,418D20
02DL44,44LD20
02L371,173L20
02W712,217W20
03071S,S17030
0307IS,SI7030
031471,174130
031672,276130
0323EE,EE3230
033985,589330
033FJG,GJF330
034BBE,EBB430
034CSH,HSC430
0350ZM,MZ0530
0358EQ,QE8530
035GLL,LLG530
035OCH,HCO530
036030,030630
0364RG,GR4630
0376RZ,ZR6730
0378UF,FU8730
0383VG,GV3830
0383VG,GV3830
038MKX,XKM830
03FX00,00XF30
03G292,292G30
03GRH7,7HRG30
03JJVX,XVJJ30
03W500,005W30
0406BZ,ZB6040
0418BN,NB8140
042472,274240
0424RH,HR4240
0424SR,RS4240
0426FJ,JF6240
042913,319240
0441QG,GQ1440
0459OM,MO9540
0459SD,DS9540
0461HL,LH1640
0463DR,RD3640
0478MV,VM8740
04C387,783C40
04DL20,02LD40
04LFXT,TXFL40
067591,195760
0765UP,PU5670
1000AF,FA0001
1000AH,HA0001
1000AS,SA0001
1000AV,VA0001
1000BC,CB0001
1000BM,MB0001
1000CB,BC0001
1000CH,HC0001
1000CP,PC0001
1000CT,TC0001
1000DB,BD0001
1000DH,HD0001
1000EW,WE0001
1000GH,HG0001
1000GK,KG0001
1000GP,PG0001
1000HM,MH0001
1000HV,VH0001
1000JD,DJ0001
1000JP,PJ0001
1000JR,RJ0001
1000JT,TJ0001
1000KW,WK0001
1000KY,YK0001
1000MR,RM0001
1000NJ,JN0001
1000NP,PN0001
1000ON,NO0001
1000OW,WO0001
1000PA,AP0001
1000PN,NP0001
1000RA,AR0001
1000RD,DR0001
1000RJ,JR0001
1000RK,KR0001
1000RT,TR0001
1000SJ,JS0001
1000SS,SS0001
1000ST,TS0001
1000TB,BT0001
1000TE,ET0001
1000TL,LT0001
1000UP,PU0001
1000VF,FV0001
1000VT,TV0001
1001AN,NA1001
1001BB,BB1001
1001DH,HD1001
1001JI,IJ1001
1001KR,RK1001
1001MY,YM1001
1001NC,CN1001
1001PH,HP1001
1001TW,WT1001
1001UE,EU1001
1001XJ,JX1001
1005NX,XN5001
1005VW,WV5001
1006PC,CP6001
1006PE,EP6001
1007ML,LM7001
1007NF,FN7001
1008DP,PD8001
1008EP,PE8001
1008FM,MF8001
100ACA,ACA001
100AEH,HEA001
100ALT,TLA001
100AOK,KOA001
100ARB,BRA001
100ARU,URA001
100ASA,ASA001
100ATX,XTA001
100AYJ,JYA001
100BCX,XCB001
100BEV,VEB001
100BHN,NHB001
100BRX,XRB001
100BWU,UWB001
100CAR,RAC001
100CCH,HCC001
100CCV,VCC001
100CFC,CFC001
100CLG,GLC001
100CMS,SMC001
100COE,EOC001
100CPT,TPC001
100CWL,LWC001
100CXG,GXC001
100CYV,VYC001
100DBM,MBD001
100DCR,RCD001
100DCS,SCD001
100DHW,WHD001
100DJE,EJD001
100DJF,FJD001
100DVB,BVD001
100DVD,DVD001
100DWR,RWD001
100EJX,XJE001
100ELB,BLE001
100ELH,HLE001
100EXG,GXE001
100FFX,XFF001
100FMO,OMF001
100FOX,XOF001
100FTA,ATF001
100GAL,LAG001
100GAW,WAG001
100GCC,CCG001
100GDY,YDG001
100GEE,EEG001
100GFX,XFG001
100GLG,GLG001
100GRT,TRG001
100GTB,BTG001
100GWB,BWG001
100HAW,WAH001
100HGE,EGH001
100HHO,OHH001
100HKH,HKH001
100HKY,YKH001
100HOG,GOH001
100HPA,APH001
100HPL,LPH001
100HVO,OVH001
100HXH,HXH001
100HXU,UXH001
100HXY,YXH001
100JAK,KAJ001
100JAM,MAJ001
100JCM,MCJ001
100JDC,CDJ001
100JER,REJ001
100JET,TEJ001
100JHM,MHJ001
100JJO,OJJ001
100JMM,MMJ001
100JMP,PMJ001
100JPO,OPJ001
100JPS,SPJ001
100JXX,XXJ001
100JXY,YXJ001
100KAT,TAK001
100KDX,XDK001
100KEV,VEK001
100KJX,XJK001
100KLX,XLK001
100KOT,TOK001
100KTN,NTK001
100LAW,WAL001
100LCG,GCL001
100LDE,EDL001
100LEB,BEL001
100MAC,CAM001
100MAF,FAM001
100MAS,SAM001
442YUH,HUY244
442YUL,LUY244
4430PF,FP0344
4430RU,UR0344
4430XA,AX0344
4431AP,PA1344
4432AR,RA2344
4432DG,GD2344
4432PL,LP2344
4433PH,HP3344
4433RO,OR3344
4433WE,EW3344
4434MG,GM4344
4434NW,WN4344
4434PJ,JP4344
4435KR,RK5344
4436PF,FP6344
4436PW,WP6344
4436QZ,ZQ6344
4436UA,AU6344
4437MH,HM7344
4438AH,HA8344
4438BT,TB8344
4438LJ,JL8344
4438VZ,ZV8344
4439AZ,ZA9344
4439TW,WT9344
443ALF,FLA344
443BHN,NHB344
443BUU,UUB344
443DBB,BBD344
443DEL,LED344
443DHY,YHD344
443DOL,LOD344
443ECE,ECE344
443EHN,NHE344
443EHN,NHE344
443EHN,NHE344
443ELT,TLE344
443ELY,YLE344
443EOL,LOE344
443EPC,CPE344
443FHA,AHF344
443FXN,NXF344
443GAO,OAG344
443GRY,YRG344
443HKM,MKH344
443HOT,TOH344
443JAE,EAJ344
443JOK,KOJ344
443JPO,OPJ344
443JRF,FRJ344
443KRB,BRK344
443MMK,KMM344
443SHW,WHS344
443TTO,OTT344
443TTO,OTT344
443UVO,OVU344
443UXA,AXU344
443UXB,BXU344
443UXF,FXU344
443UXG,GXU344
443UXH,HXU344
443UXM,MXU344
443UXR,RXU344
443UXS,SXU344
443UXU,UXU344
443UYM,MYU344
443VKO,OKV344
443VKP,PKV344
443VPD,DPV344
443VTE,ETV344
443WMA,AMW344
443WMX,XMW344
443XTW,WTX344
443XUB,BUX344
443XUD,DUX344
443XUE,EUX344
443XUF,FUX344
443XUR,RUX344
443XUS,SUX344
443XUY,YUX344
443XVE,EVX344
443YAE,EAY344
443YPL,LPY344
443YUD,DUY344
443YUE,EUY344
443YUT,TUY344
4440RA,AR0444
4441EH,HE1444
4441ME,EM1444
4441WJ,JW1444
4442JW,WJ2444
4443AD,DA3444
4443KV,VK3444
4443KV,VK3444
4444AB,BA4444
4444BC,CB4444
4444BH,HB4444
4444BW,WB4444
4444BY,YB4444
4444CC,CC4444
4444CZ,ZC4444
4444DB,BD4444
4444DL,LD4444
4444DM,MD4444
4444DS,SD4444
4444FH,HF4444
4444GD,DG4444
4444GM,MG4444
4444HE,EH4444
4444HK,KH4444
4444JK,KJ4444
4444KS,SK4444
4444MC,CM4444
4444ME,EM4444
4444ME,EM4444
4444MF,FM4444
4444MK,KM4444
4444MV,VM4444
4444PH,HP4444
4444RH,HR4444
4444RM,MR4444
4444SB,BS4444
4444SJ,JS4444
4444TD,DT4444
4444TE,ET4444
4444UM,MU4444
4444UR,RU4444
4444VC,CV4444
4444VR,RV4444
4444WJ,JW4444
4444WU,UW4444
4444XJ,JX4444
4445AR,RA5444
4445DF,FD5444
4445JN,NJ5444
4445KA,AK5444
4445PF,FP5444
4446PG,GP6444
4446SC,CS6444
4447PL,LP7444
4448DH,HD8444
4448PE,EP8444
4449PP,PP9444
4449WW,WW9444
444AAA,AAA444
444AAB,BAA444
444ABM,MBA444
444ADW,WDA444
444AEX,XEA444
444AJD,DJA444
444ARC,CRA444
444BAO,OAB444
444BCD,DCB444
444BDA,ADB444
444BDL,LDB444
444BET,TEB444
444BFD,DFB444
444BGF,FGB444
444BJF,FJB444
444BMB,BMB444
444BMT,TMB444
444BOB,BOB444
444BRC,CRB444
444BTM,MTB444
444BVE,EVB444
444BVU,UVB444
444BWU,UWB444
444CBM,MBC444
444CCC,CCC444
444CCV,VCC444
444CCX,XCC444
444CDU,UDC444
444CDX,XDC444
444CLJ,JLC444
444COU,UOC444
444CPX,XPC444
444CRH,HRC444
444CSM,MSC444
444CUH,HUC444
444CWA,AWC444
444DAH,HAD444
444DAM,MAD444
444DAT,TAD444
444DBP,PBD444
444DHW,WHD444
444DJX,XJD444
444DKC,CKD444
444DLG,GLD444
444DNX,XND444
444DOD,DOD444
444DRT,TRD444
444DSX,XSD444
444DXS,SXD444
444EJX,XJE444
444ELY,YLE444
444EMW,WME444
444ENP,PNE444
444ERY,YRE444
444EVE,EVE444
444EYH,HYE444
444FDX,XDF444
444FEA,AEF444
444FEA,AEF444
444FFF,FFF444
444FJF,FJF444
444FJF,FJF444
444FKB,BKF444
444FOD,DOF444
444FOH,HOF444
444FOV,VOF444
444FWR,RWF444
444FXN,NXF444
444FXS,SXF444
444GDM,MDG444
444GFR,RFG444
444GKH,HKG444
444GLA,ALG444
444GLN,NLG444
444GLU,ULG444
444GMA,AMG444
444GMD,DMG444
444GNM,MNG444
444GUM,MUG444
444GXC,CXG444
444GXP,PXG444
444GYB,BYG444
444GYC,CYG444
444HCR,RCH444
444HCV,VCH444
444HHH,HHH444
444HHT,THH444
444HKA,AKH444
444HKH,HKH444
444HKK,KKH444
444HLM,MLH444
444HOM,MOH444
444HOP,POH444
444HPL,LPH444
444HWE,EWH444
444HWX,XWH444
444HXT,TXH444
444HYA,AYH444
444HYU,UYH444
444HYW,WYH444
444IWJ,JWI444
444JAB,BAJ444
444JCB,BCJ444
444JGJ,JGJ444
444JHU,UHJ444
444JJJ,JJJ444
444JLX,XLJ444
444JMS,SMJ444
444JNU,UNJ444
444JOC,COJ444
444JPO,OPJ444
444JRA,ARJ444
444JRR,RRJ444
444JTB,BTJ444
444JXG,GXJ444
444JXU,UXJ444
444KBB,BBK444
444KFU,UFK444
444KGB,BGK444
444KOL,LOK444
444KOU,UOK444
444KPB,BPK444
444KPG,GPK444
444KRX,XRK444
444KXE,EXK444
444KXO,OXK444
444LBE,EBL444
444LBF,FBL444
444LEX,XEL444
444LJO,OJL444
444LLL,LLL444
444LMA,AML444
444LNX,XNL444
444LOU,UOL444
444LPA,APL444
444LPT,TPL444
444LXN,NXL444
444LXS,SXL444
444LXU,UXL444
A13HGN,NGH31A
A13HGO,OGH31A
A13HGS,SGH31A
A13HGY,YGH31A
A13HHF,FHH31A
A13HHJ,JHH31A
A13HHK,KHH31A
A13HHM,MHH31A
A13HJB,BJH31A
A13HJH,HJH31A
A13HJJ,JJH31A
A13HKA,AKH31A
A13HKG,GKH31A
A13HKR,RKH31A
A13HKS,SKH31A
A13HKY,YKH31A
A13HLX,XLH31A
A13HMA,AMH31A
A13HMG,GMH31A
A13HMX,XMH31A
A13HNE,ENH31A
A13HNM,MNH31A
A13HNT,TNH31A
A13HNW,WNH31A
A13HOA,AOH31A
A13HOB,BOH31A
A13HOJ,JOH31A
A13HOS,SOH31A
A13HOW,WOH31A
A13HPE,EPH31A
A13HPH,HPH31A
A13HPM,MPH31A
A13HPS,SPH31A
A13HRD,DRH31A
A13HRF,FRH31A
A13HRJ,JRH31A
A13HRO,ORH31A
A13HRP,PRH31A
A13HSH,HSH31A
A13HSN,NSH31A
A13HSP,PSH31A
A13HSS,SSH31A
A13HSY,YSH31A
A13HTB,BTH31A
A13HTJ,JTH31A
A13HTJ,JTH31A
A13HTT,TTH31A
A13HUF,FUH31A
A13HUK,KUH31A
A13HUN,NUH31A
A13HUS,SUH31A
A13HUT,TUH31A
A13HUU,UUH31A
A13HVH,HVH31A
A13HVR,RVH31A
A13HVS,SVH31A
A13HWE,EWH31A
A13HWK,KWH31A
A13HWN,NWH31A
A13HWP,PWH31A
A13HYA,AYH31A
A13HYA,AYH31A
A13HYG,GYH31A
A13HYJ,JYH31A
A13HYY,YYH31A
A13JAB,BAJ31A
A13JAE,EAJ31A
A13JAK,KAJ31A
A13JAR,RAJ31A
A13JAS,SAJ31A
A13JAT,TAJ31A
A13JAX,XAJ31A
A13JBY,YBJ31A
A13JCW,WCJ31A
A13JDA,ADJ31A
A13JDD,DDJ31A
A13JDP,PDJ31A
A13JDT,TDJ31A
A13JEJ,JEJ31A
A13JEN,NEJ31A
A13JEV,VEJ31A
A13JFE,EFJ31A
A13JFO,OFJ31A
A13JGR,RGJ31A
A13JGT,TGJ31A
A13JGV,VGJ31A
A13JGW,WGJ31A
A13JGX,XGJ31A
A13JHH,HHJ31A
A13JHV,VHJ31A
A13JJC,CJJ31A
A13JJF,FJJ31A
A13JJG,GJJ31A
A13JJL,LJJ31A
A13JKA,AKJ31A
A13JKG,GKJ31A
A13JLE,ELJ31A
A13JLK,KLJ31A
A13JMB,BMJ31A
A13JME,EMJ31A
A13JMH,HMJ31A
A13JMM,MMJ31A
A13JMX,XMJ31A
A13JNC,CNJ31A
A13JNE,ENJ31A
A13JPF,FPJ31A
A13JPK,KPJ31A
A13JPO,OPJ31A
A13JPT,TPJ31A
A13JPY,YPJ31A
A13JRL,LRJ31A
A13JRP,PRJ31A
A13JRR,RRJ31A
A13JRX,XRJ31A
A13JRY,YRJ31A
A13JSE,ESJ31A
A13JSO,OSJ31A
A13JST,TSJ31A
A13JSX,XSJ31A
A13JTD,DTJ31A
A13JTO,OTJ31A
A13JUE,EUJ31A
A13JVK,KVJ31A
A13JVP,PVJ31A
A13JVR,RVJ31A
A13JVV,VVJ31A
A13JWN,NWJ31A
A13JWX,XWJ31A
A13JXN,NXJ31A
A13JYS,SYJ31A
A13KAD,DAK31A
A13KBD,DBK31A
A13KBE,EBK31A
A13KBJ,JBK31A
A13KBK,KBK31A
A13KBS,SBK31A
A13KBW,WBK31A
A13KCA,ACK31A
A13KCD,DCK31A
A13KCX,XCK31A
A13KDJ,JDK31A
A13KDN,NDK31A
A13KDO,ODK31A
A13KDV,VDK31A
A13KEJ,JEK31A
A13KEN,NEK31A
A13KET,TEK31A
A13KEW,WEK31A
A13KFA,AFK31A
A13KFC,CFK31A
A13KFL,LFK31A
A13KFN,NFK31A
A13KFT,TFK31A
A13KGL,LGK31A
A13KGM,MGK31A
A13KGP,PGK31A
A13KHC,CHK31A
A13KHW,WHK31A
A13KJC,CJK31A
A13KJN,NJK31A
A13KJR,RJK31A
A13KKA,AKK31A
A13KKG,GKK31A
A13KKL,LKK31A
A13KKT,TKK31A
A13KKU,UKK31A
A13KLK,KLK31A
A13KLM,MLK31A
A13KMY,YMK31A
A13KND,DNK31A
A13KNE,ENK31A
A13KNG,GNK31A
A13KNL,LNK31A
A13KNM,MNK31A
A13KNR,RNK31A
A13KOD,DOK31A
A13KON,NOK31A
A13KOO,OOK31A
A13KOP,POK31A
A13KOR,ROK31A
A13KOV,VOK31A
A13KOW,WOK31A
A13KPF,FPK31A
A13KPJ,JPK31A
A13KRD,DRK31A
A13KRE,ERK31A
A13KRF,FRK31A
A13KRM,MRK31A
A13KRP,PRK31A
A13KRR,RRK31A
A13KSE,ESK31A
A13KSF,FSK31A
A13KSM,MSK31A
A13KTN,NTK31A
A13KVD,DVK31A
A13KVG,GVK31A
A13KWC,CWK31A
A13KWE,EWK31A
A13KWO,OWK31A
A13KWR,RWK31A
A13KXA,AXK31A
A13KXE,EXK31A
A13KXG,GXK31A
A13KXK,KXK31A
A13KYA,AYK31A
A13KYD,DYK31A
A13KYF,FYK31A
A13KYP,PYK31A
A13KYR,RYK31A
A13LAO,OAL31A
A13LAS,SAL31A
A13LAV,VAL31A
A13LAV,VAL31A
A13LAW,WAL31A
A13LBF,FBL31A
A13LBJ,JBL31A
A13LBK,KBL31A
A13LBN,NBL31A
A13LBP,PBL31A
A13LBT,TBL31A
A13LBW,WBL31A
A13LBX,XBL31A
A13LCK,KCL31A
A13LCO,OCL31A
A13LDX,XDL31A
A13LEB,BEL31A
A13LEN,NEL31A
A13LEX,XEL31A
A13LFE,EFL31A
A13LFG,GFL31A
A13LFH,HFL31A
A13LFM,MFL31A
A13LFN,NFL31A
A13LFU,UFL31A
A13LFW,WFL31A
A13LFX,XFL31A
A13LGE,EGL31A
A13LGH,HGL31A
A13LGM,MGL31A
A13LHA,AHL31A
A13LHB,BHL31A
A13LHJ,JHL31A
A13LHK,KHL31A
A13LHT,THL31A
A13LJV,VJL31A
A13LJX,XJL31A
A13LKJ,JKL31A
A13LKN,NKL31A
A13LKO,OKL31A
A13LKR,RKL31A
A13LKY,YKL31A
A13LLE,ELL31A
A13LLM,MLL31A
A13LLO,OLL31A
A13LMA,AML31A
A13LMX,XML31A
A13LNA,ANL31A
A13LNH,HNL31A
A13LNJ,JNL31A
A13LNN,NNL31A
A13LNO,ONL31A
A13LNP,PNL31A
A13LNT,TNL31A
A13LNW,WNL31A
A13LNY,YNL31A
A13LOF,FOL31A
A13LOM,MOL31A
A13LPP,PPL31A
A13LRB,BRL31A
A13LRC,CRL31A
A13LRG,GRL31A
A13LSV,VSL31A
A13LSX,XSL31A
A13LSY,YSL31A
A13LTE,ETL31A
A13LTG,GTL31A
A13LUG,GUL31A
A13LUM,MUL31A
A13LUO,OUL31A
A13LUP,PUL31A
A13LVG,GVL31A
A13LVP,PVL31A
A13LVR,RVL31A
A13LVY,YVL31A
A13LWA,AWL31A
7987DA,AD7897
7987JH,HJ7897
7988VW,WV8897
7989LJ,JL9897
7989LJ,JL9897
798ADN,NDA897
798ALM,MLA897
798BBS,SBB897
798BOT,TOB897
798CBP,PBC897
798CRH,HRC897
798CRL,LRC897
798CTP,PTC897
798CTR,RTC897
798CWE,EWC897
798DFU,UFD897
798DML,LMD897
798DML,LMD897
798DPT,TPD897
798DRF,FRD897
798DTC,CTD897
798DYA,AYD897
798EHY,YHE897
798EKR,RKE897
798EKR,RKE897
798ERA,ARE897
798FCH,HCF897
798FFC,CFF897
798FOD,DOF897
798FYA,AYF897
798GKD,DKG897
798GUS,SUG897
798HUE,EUH897
798JTC,CTJ897
798LUG,GUL897
798MBP,PBM897
798TKX,XKT897
798TNU,UNT897
798TRO,ORT897
798UXB,BXU897
798UXC,CXU897
798UXD,DXU897
798UXF,FXU897
798UXG,GXU897
798UXH,HXU897
798UXJ,JXU897
798UXN,NXU897
798UXO,OXU897
798UXO,OXU897
798UXR,RXU897
798UXT,TXU897
798UXV,VXU897
798UXW,WXU897
798UYT,TYU897
798VMC,CMV897
798WAL,LAW897
798WHY,YHW897
798XUB,BUX897
798XUD,DUX897
798XUG,GUX897
798XUG,GUX897
798XUM,MUX897
798XUN,NUX897
798XUV,VUX897
798XUW,WUX897
798XUY,YUX897
798YME,EMY897
798YMX,XMY897
798YUE,EUY897
798YUG,GUY897
798YUH,HUY897
798YUJ,JUY897
7990AC,CA0997
7990RF,FR0997
7990TD,DT0997
7990UN,NU0997
7991MK,KM1997
7991PG,GP1997
7993PL,LP3997
7993PW,WP3997
7994EL,LE4997
7994KO,OK4997
7994MT,TM4997
7994RU,UR4997
7995LG,GL5997
7995VF,FV5997
7996BP,PB6997
7996LZ,ZL6997
7996MC,CM6997
7996ZF,FZ6997
7997AD,DA7997
7997EV,VE7997
7997VC,CV7997
7997VJ,JV7997
7997XI,IX7997
7998IU,UI8997
7998PO,OP8997
799ALV,VLA997
799ALX,XLA997
799ANX,XNA997
799BGY,YGB997
799BJW,WJB997
799BLL,LLB997
799BPC,CPB997
799BRU,URB997
799BWE,EWB997
799CCH,HCC997
799CER,REC997
799CKM,MKC997
799COL,LOC997
799CPO,OPC997
799CRF,FRC997
799DBB,BBD997
799DHR,RHD997
799DOV,VOD997
799DYN,NYD997
799EPF,FPE997
799FHY,YHF997
799FOU,UOF997
799FOV,VOF997
799GAR,RAG997
799GAR,RAG997
799HAU,UAH997
799HPP,PPH997
799JFC,CFJ997
799JPK,KPJ997
799KCG,GCK997
799LAA,AAL997
799LDT,TDL997
799LML,LML997
799LMM,MML997
799LMM,MML997
799LMM,MML997
799LNN,NNL997
799LTX,XTL997
799MYB,BYM997
799NFC,CFN997
799PMK,KMP997
799PUO,OUP997
799TMT,TMT997
799TZC,CZT997
799UMB,BMU997
799UXA,AXU997
799UXB,BXU997
799UXC,CXU997
799UXE,EXU997
799UXF,FXU997
799UXH,HXU997
799UXJ,JXU997
799UXK,KXU997
799UXO,OXU997
799UXR,RXU997
799UXU,UXU997
799UXV,VXU997
799UYL,LYU997
799UYX,XYU997
799VAF,FAV997
799XKL,LKX997
799XPG,GPX997
799XPH,HPX997
799XUB,BUX997
799XUE,EUX997
799XUH,HUX997
799XUK,KUX997
799XUU,UUX997
799XUW,WUX997
799YUK,KUY997
79BH59,95HB97
79BL88,88LB97
79EE99,99EE97
79KE56,65EK97
79KL39,93LK97
79WZ22,22ZW97
7DEV02,20VED7
7FRJ22,22JRF7
7FT517,715TF7
7FYG19,91GYF7
7G9404,4049G7
7JR324,423RJ7
7JRS14,41SRJ7
7MJW11,11WJM7
7MP202,202PM7
7PRMC5,5CMRP7
7SFN85,58NFS7
7ZDR07,70RDZ7
8000AE,EA0008
8000BM,MB0008
8000DG,GD0008
8000DK,KD0008
8000ED,DE0008
8000FS,SF0008
8000GG,GG0008
8000GM,MG0008
8000GS,SG0008
8000HB,BH0008
8000JA,AJ0008
8000JC,CJ0008
8000JM,MJ0008
8000JP,PJ0008
8000LM,ML0008
8000PC,CP0008
8000PR,RP0008
8000PW,WP0008
8000RD,DR0008
8000RG,GR0008
8000SD,DS0008
